type,env,start_time,end_time,elapsed_time
sync,local,1662764394.8438587,1662764394.8666327,0.02277398109436035
sync,local,1662764394.8666327,1662764394.8882923,0.02165961265563965
sync,local,1662764394.8882923,1662764394.912877,0.02458477020263672
sync,local,1662764394.912877,1662764394.936486,0.023608922958374023
sync,local,1662764394.936486,1662764394.9601696,0.023683547973632812
sync,local,1662764394.9601696,1662764394.98267,0.02250051498413086
sync,local,1662764394.98267,1662764395.0072267,0.024556636810302734
sync,local,1662764395.0072267,1662764395.0346189,0.027392148971557617
sync,local,1662764395.0346189,1662764395.0612242,0.02660536766052246
sync,local,1662764395.0612242,1662764395.0892923,0.028068065643310547
sync,local,1662764395.0892923,1662764395.1142607,0.024968385696411133
sync,local,1662764395.1142607,1662764395.1362252,0.021964550018310547
sync,docker,1663888179.2502906,1663888179.273522,0.02323126792907715
sync,docker,1663888179.273561,1663888179.2930577,0.019496679306030273
sync,docker,1663888179.293104,1663888179.314579,0.02147507667541504
sync,docker,1663888179.3146203,1663888179.3342347,0.019614458084106445
sync,docker,1663888179.334278,1663888179.3554614,0.021183252334594727
sync,docker,1663888179.3554952,1663888179.3751593,0.01966404914855957
sync,docker,1663888179.3751938,1663888179.3945029,0.019309043884277344
sync,docker,1663888179.3945432,1663888179.414002,0.019458770751953125
sync,docker,1663888179.4140449,1663888179.4318867,0.017841815948486328
sync,docker,1663888179.4319174,1663888179.4468067,0.014889240264892578
sync,docker,1663888179.446851,1663888179.4628909,0.01603984832763672
sync,docker,1663888179.4629257,1663888179.4804485,0.017522811889648438
sync,docker,1663888179.480483,1663888179.4953501,0.014867067337036133
sync,docker,1663888179.4953883,1663888179.5109956,0.015607357025146484
sync,docker,1663888179.511026,1663888179.5278456,0.01681971549987793
sync,docker,1663888179.5278814,1663888179.543179,0.015297651290893555
sync,docker,1663888179.543217,1663888179.5580018,0.014784812927246094
sync,docker,1663888179.5580459,1663888179.575274,0.017228126525878906
sync,docker,1663888179.5753171,1663888179.589972,0.014654874801635742
sync,docker,1663888179.5900018,1663888179.6047416,0.014739751815795898
sync,docker,1663888179.6047764,1663888179.6210873,0.016310930252075195
sync,docker,1663888179.6211195,1663888179.6365385,0.01541900634765625
sync,docker,1663888179.6365721,1663888179.6526284,0.016056299209594727
sync,docker,1663888179.652673,1663888179.6691751,0.01650214195251465
sync,docker,1663888179.669209,1663888179.6846316,0.015422582626342773
sync,docker,1663888179.6846628,1663888179.6984537,0.01379084587097168
sync,docker,1663888179.6984918,1663888179.7127433,0.014251470565795898
sync,docker,1663888179.7127748,1663888179.7273526,0.014577865600585938
sync,docker,1663888179.7273843,1663888179.7413054,0.013921022415161133
sync,docker,1663888179.7413464,1663888179.7573109,0.015964508056640625
sync,docker,1663888179.7573495,1663888179.7737827,0.016433238983154297
sync,docker,1663888179.7738197,1663888179.7879217,0.014101982116699219
sync,docker,1663888179.7879524,1663888179.8033812,0.015428781509399414
sync,docker,1663888179.8034284,1663888179.8179758,0.014547348022460938
sync,docker,1663888179.818017,1663888179.8331988,0.015181779861450195
sync,docker,1663888179.8332403,1663888179.848255,0.0150146484375
sync,docker,1663888179.8482988,1663888179.863481,0.015182256698608398
sync,docker,1663888179.863521,1663888179.8802948,0.016773700714111328
sync,docker,1663888179.8803666,1663888179.8973958,0.017029285430908203
sync,docker,1663888179.8974266,1663888179.9119515,0.01452493667602539
sync,docker,1663888179.9119918,1663888179.9282281,0.016236305236816406
sync,docker,1663888179.9282682,1663888179.9442387,0.015970468521118164
sync,docker,1663888179.944279,1663888179.9607456,0.016466617584228516
sync,docker,1663888179.9607875,1663888179.975687,0.014899492263793945
sync,docker,1663888179.9757361,1663888179.9914577,0.015721559524536133
sync,docker,1663888179.991502,1663888180.0074682,0.015966176986694336
sync,docker,1663888180.007511,1663888180.0233996,0.015888690948486328
sync,docker,1663888180.0234447,1663888180.0396955,0.0162508487701416
sync,docker,1663888180.0397365,1663888180.0557835,0.016047000885009766
